refind,label,description,class,notes
2276,women,,hum,
2277,his wife,of 0259,hum,
2278,his son's wife,of 0259,hum,
2279,a little box,,inm,
2280,valuer,,hum,
2281,the table,,inm,
2282,there,,loc,
2283,there,,loc,
2284,guid book,,inm,
2285,a chapter,of 0284,abs,
2286,church,,loc,
2287,the old cow,,anm,
2288,the other farm,,loc,
2289,he,man at 0288,hum,
2290,they,bankers,hum,
2291,that,,abs,
2292,this,,abs,
2293,they,more bankers,hum,
2294,their agreements,of 0293,abs,
2295,we,speaker and his generation,hum,
2296,agents,before the current ones,hum,
2297,this lot,Strutts and Parkers,hum,
2298,five out of six,,hum,
2299,they,speaker's generation,hum,
2300,name,of 0013,abs,
2301,Boer War,,abs,
2302,Canterbury Market,,loc,
2303,a little old paper,,inm,
2304,records,,inm,
2305,dealings,of 0003,abs,
2306,here,head of 0003,bdp,
2307,head,of 0000,bdp,
2308,records,of 0000,abs,
2309,a Collin's notebook,,inm,
2310,word,of 0297,abs,
3000,(speaker),,hum,
3001,(interviewer),,hum,
3003,gypsies,,hum,
3004,backdoors,,loc,
3005,every cottage,,loc,
3006,pegs,,inm,
3007,women,,hum,
3008,clothes,,inm,
3009,eczema,,inm,
3010,eye,of 0000,bdp,
3011,one side,,loc,
3012,the doctor,,hum,
3013,us,speaker and his family,hum,
3014,ointments,,inm,
3015,an old gypsy,,hum,
3016,she,speaker's mother,hum,
3017,chemist,,hum,
3018,white copperas,,mss,
3019,that,bathing 0010 in 0018,abs,
3020,that,(events),abs,
3021,face,of 0000,bdp,
3022,people,,hum,
3023,we,speaker and others,hum,
3024,bad gypsies,,hum,
3025,good ones,,hum,
3026,one lot,"of gypsies, named Charles",hum,
3027,dad,of 0000,hum,
3028,a decent pony,,anm,
3029,an old grey horse,Buller,anm,
3030,we,speaker and his father,hum,
3031,Earl Sourstone,,hum,
3032,this farm,next door,loc,
3033,here,speaker's current farm,loc,
3034,Molash,,loc,
3035,a letter,,inm,
3036,a man,,hum,
3037,Street End Farm,,loc,
3038,they,people at 0037,hum,
3039,she,owner of 0037,hum,
3040,Germany,,loc,
3041,life,of 0029,abs,
3042,this cart,,inm,
3043,the harness,,inm,
3044,groom,of 0037,hum,
3045,the tackle,,inm,
3046,nosebags,,inm,
3047,flynet,,inm,
3048,people,,hum,
3049,weddings,,abs,
3050,old man,General Buller,hum,
3051,Boer War,,abs,
3052,the name,of 0029,abs,
3053,the road,up from the farm,inm,
3054,the little paddock,,loc,
3055,humane killers,,inm,
3056,them,horses,anm,
3057,forehead,,bdp,
3058,the carcass,of 0029,inm,
3059,horse meat,,mss,
3060,'Fourteen War,the First World War,abs,
3061,the last war,the Second World War,abs,
3062,friend,of 0000,hum,
3063,Ned Coleman,,hum,
3064,that,(events),abs,
3065,you boys,speaker and Ned Cole,hum,
3066,a good lunch,,inm,
3067,a sale,,abs,
3068,some sheep,of 0062,anm,
3069,we,speaker and friends,hum,
3070,the Bull Hotel,,loc,
3071,Sittingbourne,,loc,
3072,all they got,whale meat,inm,
3073,whale meat,,mss,
3074,bully beef,,mss,
3075,horses,,anm,
3076,life,of speaker,abs,
3077,special remedies,,inm,
3078,horse medicines,,inm,
3079,pony,,anm,
3080,a horse,,anm,
3081,the farm,of 0027,loc,
3082,a pair of horses,,anm,
3083,a man,,hum,
3084,this horse,,anm,
3085,chicken,,anm,
3086,seven sovereigns,,inm,
3087,a woman,,hum,
3088,Challock,,loc,
3089,Halfway House,,loc,
3090,some chicken,,anm,
3091,three sovereigns,,inm,
3092,two sovereigns,,inm,
3093,it,lost sovereign,inm,
3094,pocket,of 0000,inm,
3095,neighbour,"of 0000, a blacksmith",hum,
3096,a pony,of 0095,anm,
3097,the harness,of 0096,inm,
3098,cart,of 0096,inm,
3099,we,speaker and 0096,hum,
3100,the binder,neighbour of speaker at 0081,hum,
3101,the corn,,inm,
3102,seven acres,of arable land,inm,
3103,the horses,,anm,
3104,we,speaker and contemporaries,hum,
3105,there,corn field,loc,
3106,a horse,,anm,
3107,van,for 0106,inm,
3108,brother,of 0000,hum,
3109,those oats,,mss,
3110,we,speaker and brother,hum,
3111,they,father and brother,hum,
3112,sheaves,of oats,inm,
3113,this end,,loc,
3114,the corner,,inm,
3115,it,(events),abs,
3116,a little piece of ground,,inm,
3117,a cottage,on 0116,inm,
3118,Chilham Castle,,hum,
3119,Sir Ernest Davies,son of 0118,hum,
3120,Lord Grand,,hum,
3121,somebody,,hum,
3122,the foundations,of 0117,inm,
3123,horses,,anm,
3124,old bike,of 0000,inm,
3125,the fairs,,abs,
3126,Badlesmere Fair,,abs,
3127,Throwley Fair,,abs,
3129,Challock Fair,,abs,
3130,the four fairs,,abs,
3131,Whitstable,,loc,
3132,bushel of whelks,,inm,
3133,the whelks,,mss,
3134,the copper,,inm,
3135,us kids,speaker and siblings,hum,
3136,shells,of 0133,inm,
3137,whelk stall,,inm,
3138,plates,for whelks,inm,
3139,the fair,,abs,
3140,that,(events),abs,
3141,dealer boys,,hum,
3142,what whelks,were left,mss,
3143,that,(events),abs,
3144,roundabouts,,inm,
3145,coconut shies,,inm,
3146,ordinary fairs,,abs,
3147,these,stalls,inm,
3148,there,home of 0026,loc,
3149,all manner of yarns,,abs,
3150,some meal,,inm,
3151,he,one of Charles,hum,
3152,(zero),hedgehog,inm,
3153,the spikes,,bdp,
3154,some clay,,mss,
3155,it,hedgehog,mss,
3156,a joint of meat,,inm,
3157,Canterbury,,loc,
3158,the old butcher's,,loc,
3159,a big joint,,inm,
3160,a proper fry-up,,abs,
3161,the rabbits,,anm,
3162,a rabbit,,anm,
3163,thousands of rabbits,,anm,
3164,pheasants,,anm,
3165,that,agreement,abs,
3166,what rabbits,we liked,anm,
3167,our field,,loc,
3168,corn,,inm,
3169,eighteen,pheasants,anm,
3170,garden,of 0000,loc,
3171,spring greens,of 0000 in 0170,inm,
3172,the syndicate,,hum,
3173,they,groundskeepers,hum,
3174,he,the keeper,hum,
3175,a motorbike,,inm,
3176,the chap,,hum,
3177,the road,from 0033,inm,
3178,our lane,from 0033,loc,
3179,the field,,loc,
3180,the hedge,,inm,
3181,a bag,,inm,
3182,a dozen pheasants,,inm,
3183,(zero),father of 0176,hum,
3184,a pub,of 0183,inm,
3185,the wood,,loc,
3186,a rabbit,,anm,
3187,they,rabbits,anm,
3188,deer,,anm,
3189,snares,,inm,
3190,a good old retriever dog,,anm,
3191,these gun dogs,,anm,
3192,silver watch and chain,,inm,
3193,a load of chicken,,anm,
3194,Boughton,,loc,
3195,The King's Head,,loc,
3196,a chicken,,anm,
3197,twelve tickets,,inm,
3198,that,a ticket,inm,
3199,a dozen,chickens,anm,
3200,enough money,,mss,
3201,a load of rabbits,,anm,
3202,a job for you,,abs,
3203,one,rabbits,anm,
3204,mi uncle,,hum,
3205,one,of 0206,hum,
3206,the toffs,,hum,
3207,there,,loc,
3208,swinging targets,,inm,
3209,as many shots,,inm,
3210,a card,,inm,
3211,this chap,,hum,
3212,these rabbits,,anm,
3213,old muzzle-loading gun,,inm,
3214,the old powder,,mss,
3215,a bit of paper,,inm,
3216,some shots,,inm,
3217,cap,,inm,
3218,the trigger,,inm,
3219,these shoots,,abs,
3220,that,(events),abs,
